ID,Datetime,Count,,
0,25-08-2012 00:00,8,,8
1,25-08-2012 01:00,2,,7.52
2,25-08-2012 02:00,6,,7.3984
3,25-08-2012 03:00,2,,6.966528
4,25-08-2012 04:00,2,,6.56920576
5,25-08-2012 05:00,2,,6.203669299
6,25-08-2012 06:00,2,,5.867375755
7,25-08-2012 07:00,2,,5.557985695
8,25-08-2012 08:00,6,,5.593346839
9,25-08-2012 09:00,2,,5.305879092
10,25-08-2012 10:00,2,,5.041408765
11,25-08-2012 11:00,6,,5.118096064
12,25-08-2012 12:00,4,,5.028648378
13,25-08-2012 13:00,2,,4.786356508
14,25-08-2012 14:00,6,,4.883447988
15,25-08-2012 15:00,2,,4.652772149
16,25-08-2012 16:00,2,,4.440550377
17,25-08-2012 17:00,2,,4.245306347
18,25-08-2012 18:00,2,,4.065681839
19,25-08-2012 19:00,2,,3.900427292
20,25-08-2012 20:00,2,,3.748393108
21,25-08-2012 21:00,6,,3.92852166
22,25-08-2012 22:00,2,,3.774239927
23,25-08-2012 23:00,2,3.166666667,3.632300733
24,26-08-2012 00:00,4,3,3.661716674
25,26-08-2012 01:00,6,3.166666667,3.84877934
26,26-08-2012 02:00,2,3,3.700876993
27,26-08-2012 03:00,4,3.083333333,3.724806834
28,26-08-2012 04:00,2,3.083333333,3.586822287
29,26-08-2012 05:00,2,3.083333333,3.459876504
30,26-08-2012 06:00,2,3.083333333,3.343086384
31,26-08-2012 07:00,2,3.083333333,3.235639473
32,26-08-2012 08:00,2,2.916666667,3.136788315
33,26-08-2012 09:00,4,3,3.20584525
34,26-08-2012 10:00,2,3,3.10937763
35,26-08-2012 11:00,2,2.833333333,3.020627419
36,26-08-2012 12:00,8,3,3.418977226
37,26-08-2012 13:00,6,3.166666667,3.625459048
38,26-08-2012 14:00,6,3.166666667,3.815422324
39,26-08-2012 15:00,6,3.333333333,3.990188538
40,26-08-2012 16:00,2,3.333333333,3.830973455
41,26-08-2012 17:00,4,3.416666667,3.844495579
42,26-08-2012 18:00,4,3.5,3.856935932
43,26-08-2012 19:00,4,3.583333333,3.868381058
44,26-08-2012 20:00,2,3.583333333,3.718910573
45,26-08-2012 21:00,2,3.416666667,3.581397727
46,26-08-2012 22:00,4,3.5,3.614885909
47,26-08-2012 23:00,6,3.666666667,3.805695036
48,27-08-2012 00:00,6,3.75,3.981239433
49,27-08-2012 01:00,2,3.583333333,3.822740279
50,27-08-2012 02:00,2,3.583333333,3.676921056
51,27-08-2012 03:00,2,3.5,3.542767372
52,27-08-2012 04:00,2,3.5,3.419345982
53,27-08-2012 05:00,2,3.5,3.305798304
54,27-08-2012 06:00,4,3.583333333,3.361334439
55,27-08-2012 07:00,2,3.583333333,3.252427684
56,27-08-2012 08:00,2,3.583333333,3.152233469
57,27-08-2012 09:00,2,3.5,3.060054792
58,27-08-2012 10:00,2,3.5,2.975250409
59,27-08-2012 11:00,2,3.5,2.897230376
60,27-08-2012 12:00,2,3.25,2.825451946
61,27-08-2012 13:00,2,3.083333333,2.75941579
62,27-08-2012 14:00,2,2.916666667,2.698662527
63,27-08-2012 15:00,4,2.833333333,2.802769525
64,27-08-2012 16:00,2,2.833333333,2.738547963
65,27-08-2012 17:00,2,2.75,2.679464126
66,27-08-2012 18:00,4,2.75,2.785106996
67,27-08-2012 19:00,2,2.666666667,2.722298436
68,27-08-2012 20:00,4,2.75,2.824514561
69,27-08-2012 21:00,2,2.75,2.758553396
70,27-08-2012 22:00,2,2.666666667,2.697869125
71,27-08-2012 23:00,4,2.583333333,2.802039595
72,28-08-2012 00:00,2,2.416666667,2.737876427
73,28-08-2012 01:00,2,2.416666667,2.678846313
74,28-08-2012 02:00,2,2.416666667,2.624538608
75,28-08-2012 03:00,2,2.416666667,2.574575519
76,28-08-2012 04:00,2,2.416666667,2.528609478
77,28-08-2012 05:00,2,2.416666667,2.486320719
78,28-08-2012 06:00,2,2.333333333,2.447415062
79,28-08-2012 07:00,2,2.333333333,2.411621857
80,28-08-2012 08:00,4,2.416666667,2.538692108
81,28-08-2012 09:00,4,2.5,2.65559674
82,28-08-2012 10:00,2,2.5,2.603149001
83,28-08-2012 11:00,2,2.5,2.554897081
84,28-08-2012 12:00,2,2.5,2.510505314
85,28-08-2012 13:00,2,2.5,2.469664889
86,28-08-2012 14:00,2,2.5,2.432091698
87,28-08-2012 15:00,2,2.416666667,2.397524362
88,28-08-2012 16:00,2,2.416666667,2.365722413
89,28-08-2012 17:00,4,2.5,2.49646462
90,28-08-2012 18:00,2,2.416666667,2.45674745
91,28-08-2012 19:00,2,2.416666667,2.420207654
92,28-08-2012 20:00,2,2.333333333,2.386591042
93,28-08-2012 21:00,4,2.416666667,2.515663759
94,28-08-2012 22:00,4,2.5,2.634410658
95,28-08-2012 23:00,2,2.416666667,2.583657805
96,29-08-2012 00:00,4,2.5,2.696965181
97,29-08-2012 01:00,6,2.666666667,2.961207966
98,29-08-2012 02:00,2,2.666666667,2.884311329
99,29-08-2012 03:00,2,2.666666667,2.813566423
100,29-08-2012 04:00,2,2.666666667,2.748481109
101,29-08-2012 05:00,2,2.666666667,2.68860262
102,29-08-2012 06:00,2,2.666666667,2.633514411
103,29-08-2012 07:00,2,2.666666667,2.582833258
104,29-08-2012 08:00,2,2.583333333,2.536206597
105,29-08-2012 09:00,2,2.5,2.493310069
106,29-08-2012 10:00,4,2.583333333,2.613845264
107,29-08-2012 11:00,2,2.583333333,2.564737643
108,29-08-2012 12:00,2,2.583333333,2.519558631
109,29-08-2012 13:00,2,2.583333333,2.477993941
110,29-08-2012 14:00,4,2.666666667,2.599754426
111,29-08-2012 15:00,2,2.666666667,2.551774071
112,29-08-2012 16:00,2,2.666666667,2.507632146
113,29-08-2012 17:00,2,2.583333333,2.467021574
114,29-08-2012 18:00,2,2.583333333,2.429659848
115,29-08-2012 19:00,2,2.583333333,2.39528706
116,29-08-2012 20:00,2,2.583333333,2.363664096
117,29-08-2012 21:00,2,2.5,2.334570968
118,29-08-2012 22:00,2,2.416666667,2.30780529
119,29-08-2012 23:00,4,2.5,2.443180867
120,30-08-2012 00:00,2,2.416666667,2.407726398
121,30-08-2012 01:00,8,2.5,2.855108286
122,30-08-2012 02:00,4,2.583333333,2.946699623
123,30-08-2012 03:00,2,2.583333333,2.870963653
124,30-08-2012 04:00,4,2.666666667,2.961286561
125,30-08-2012 05:00,2,2.666666667,2.884383636
126,30-08-2012 06:00,2,2.666666667,2.813632945
127,30-08-2012 07:00,2,2.666666667,2.74854231
128,30-08-2012 08:00,2,2.666666667,2.688658925
129,30-08-2012 09:00,2,2.666666667,2.633566211
130,30-08-2012 10:00,2,2.583333333,2.582880914
131,30-08-2012 11:00,4,2.666666667,2.696250441
132,30-08-2012 12:00,2,2.666666667,2.640550406
133,30-08-2012 13:00,2,2.666666667,2.589306373
134,30-08-2012 14:00,2,2.583333333,2.542161863
135,30-08-2012 15:00,4,2.666666667,2.658788914
136,30-08-2012 16:00,4,2.75,2.766085801
137,30-08-2012 17:00,2,2.75,2.704798937
138,30-08-2012 18:00,4,2.833333333,2.808415022
139,30-08-2012 19:00,2,2.833333333,2.74374182
140,30-08-2012 20:00,6,3,3.004242475
141,30-08-2012 21:00,4,3.083333333,3.083903077
142,30-08-2012 22:00,2,3.083333333,2.997190831
143,30-08-2012 23:00,4,3.083333333,3.077415564
144,31-08-2012 00:00,6,3.25,3.311222319
145,31-08-2012 01:00,4,3.083333333,3.366324533
146,31-08-2012 02:00,2,3,3.257018571
147,31-08-2012 03:00,2,3,3.156457085
148,31-08-2012 04:00,2,2.916666667,3.063940518
149,31-08-2012 05:00,2,2.916666667,2.978825277
150,31-08-2012 06:00,2,2.916666667,2.900519255
151,31-08-2012 07:00,6,3.083333333,3.148477714
152,31-08-2012 08:00,2,3.083333333,3.056599497
153,31-08-2012 09:00,2,3.083333333,2.972071537
154,31-08-2012 10:00,4,3.166666667,3.054305814
155,31-08-2012 11:00,2,3.083333333,2.969961349
156,31-08-2012 12:00,2,3.083333333,2.892364441
157,31-08-2012 13:00,4,3.166666667,2.980975286
158,31-08-2012 14:00,4,3.25,3.062497263
159,31-08-2012 15:00,2,3.166666667,2.977497482
160,31-08-2012 16:00,2,3.083333333,2.899297684
161,31-08-2012 17:00,2,3.083333333,2.827353869
162,31-08-2012 18:00,2,3,2.761165559
163,31-08-2012 19:00,4,3.083333333,2.860272315
164,31-08-2012 20:00,4,3,2.951450529
165,31-08-2012 21:00,2,2.916666667,2.875334487
166,31-08-2012 22:00,4,3,2.965307728
167,31-08-2012 23:00,10,3.25,3.52808311
168,1/9/2012 0:00,8,3.333333333,3.885836461
169,1/9/2012 1:00,4,3.333333333,3.894969544
170,1/9/2012 2:00,4,3.416666667,3.903371981
171,1/9/2012 3:00,2,3.416666667,3.751102222
172,1/9/2012 4:00,2,3.416666667,3.611014044
173,1/9/2012 5:00,2,3.416666667,3.482132921
174,1/9/2012 6:00,4,3.5,3.523562287
175,1/9/2012 7:00,4,3.416666667,3.561677304
176,1/9/2012 8:00,2,3.416666667,3.43674312
177,1/9/2012 9:00,2,3.416666667,3.32180367
178,1/9/2012 10:00,8,3.583333333,3.696059377
179,1/9/2012 11:00,8,3.833333333,4.040374627
180,1/9/2012 12:00,6,4,4.197144656
181,1/9/2012 13:00,6,4.083333333,4.341373084
182,1/9/2012 14:00,6,4.166666667,4.474063237
183,1/9/2012 15:00,6,4.333333333,4.596138178
184,1/9/2012 16:00,4,4.416666667,4.548447124
185,1/9/2012 17:00,4,4.5,4.504571354
186,1/9/2012 18:00,8,4.75,4.784205646
187,1/9/2012 19:00,2,4.666666667,4.561469194
188,1/9/2012 20:00,6,4.75,4.676551659
189,1/9/2012 21:00,2,4.75,4.462427526
190,1/9/2012 22:00,4,4.75,4.425433324
191,1/9/2012 23:00,8,4.666666667,4.711398658
192,2/9/2012 0:00,10,4.75,5.134486765
193,2/9/2012 1:00,2,4.666666667,4.883727824
194,2/9/2012 2:00,4,4.666666667,4.813029598
195,2/9/2012 3:00,2,4.666666667,4.58798723
196,2/9/2012 4:00,6,4.833333333,4.700948252
197,2/9/2012 5:00,4,4.916666667,4.644872392
198,2/9/2012 6:00,2,4.833333333,4.4332826
199,2/9/2012 7:00,4,4.833333333,4.398619992
200,2/9/2012 8:00,4,4.916666667,4.366730393
201,2/9/2012 9:00,6,5.083333333,4.497391962
202,2/9/2012 10:00,4,4.916666667,4.457600605
203,2/9/2012 11:00,2,4.666666667,4.260992556
204,2/9/2012 12:00,6,4.666666667,4.400113152
205,2/9/2012 13:00,10,4.833333333,4.8481041
206,2/9/2012 14:00,6,4.833333333,4.940255772
207,2/9/2012 15:00,4,4.75,4.86503531
208,2/9/2012 16:00,6,4.833333333,4.955832485
209,2/9/2012 17:00,4,4.833333333,4.879365886
210,2/9/2012 18:00,4,4.666666667,4.809016615
211,2/9/2012 19:00,8,4.916666667,5.064295286
212,2/9/2012 20:00,4,4.833333333,4.979151663
213,2/9/2012 21:00,8,5.083333333,5.22081953
214,2/9/2012 22:00,4,5.083333333,5.123153968
215,2/9/2012 23:00,4,4.916666667,5.03330165
216,3/9/2012 0:00,4,4.666666667,4.950637518
217,3/9/2012 1:00,2,4.666666667,4.714586517
218,3/9/2012 2:00,4,4.666666667,4.657419596
219,3/9/2012 3:00,4,4.75,4.604826028
220,3/9/2012 4:00,2,4.583333333,4.396439946
221,3/9/2012 5:00,4,4.583333333,4.36472475
222,3/9/2012 6:00,2,4.583333333,4.17554677
223,3/9/2012 7:00,6,4.666666667,4.321503028
224,3/9/2012 8:00,2,4.583333333,4.135782786
225,3/9/2012 9:00,2,4.416666667,3.964920163
226,3/9/2012 10:00,6,4.5,4.12772655
227,3/9/2012 11:00,8,4.75,4.437508426
228,3/9/2012 12:00,4,4.666666667,4.402507752
229,3/9/2012 13:00,2,4.333333333,4.210307132
230,3/9/2012 14:00,10,4.5,4.673482561
231,3/9/2012 15:00,4,4.5,4.619603956
232,3/9/2012 16:00,4,4.416666667,4.57003564
233,3/9/2012 17:00,8,4.583333333,4.844432789
234,3/9/2012 18:00,6,4.666666667,4.936878166
235,3/9/2012 19:00,6,4.583333333,5.021927912
